Designator,Mid X,Mid Y,Rotation,Layer
C1,127.0,-93.5,-90.0,bottom
C11,113.0,-93.5,-90.0,bottom
C12,114.0,-107.0,-90.0,bottom
C13,124.5,-105.525,-90.0,bottom
C2,123.0,-71.0,0.0,bottom
C3,118.5,-105.025,0.0,bottom
C4,128.0,-105.025,-90.0,bottom
C5,113.5,-74.5,90.0,bottom
C6,126.0,-80.5,-90.0,bottom
C7,124.5,-99.5,90.0,bottom
C8,128.5,-98.0,180.0,bottom
D1,108.5,-89.535,-90.0,top
D10,128.5,-104.5,180.0,top
D2,115.5,-89.5,-90.0,top
D3,105.5,-89.535,-90.0,top
D4,128.5,-102.5,180.0,top
D5,105.0,-57.5,90.0,top
D6,107.0,-57.5,90.0,top
D7,110.0,-106.5,0.0,top
D9,122.0,-105.525,-90.0,bottom
J1,112.5,-91.0,180.0,top
J10,102.4,-65.5,180.0,bottom
J11,102.05,-65.7715,90.0,top
J12,114.5,-84.5,-90.0,top
J13,102.5,-84.25,90.0,top
J2,119.5,-61.45,180.0,top
J3,101.875,-59.0,180.0,top
J4,113.0,-97.0,90.0,top
J5,102.4,-67.75,180.0,bottom
J6,100.0,-92.0,90.0,top
J7,110.5,-58.75,90.0,top
J8,96.0,-92.0,90.0,top
J9,102.4,-70.0,180.0,bottom
L1,119.0,-100.5,0.0,bottom
P1,111.5,-63.25,-90.0,top
Q1,105.0,-61.5,180.0,bottom
R1,117.5,-85.5,-90.0,bottom
R10,114.5,-93.5,90.0,bottom
R11,107.5,-61.5,90.0,bottom
R12,109.0,-60.5,90.0,bottom
R13,107.0,-106.5,0.0,bottom
R14,115.5,-64.175,-90.0,bottom
R15,126.5,-108.025,-90.0,bottom
R16,126.5,-105.025,90.0,bottom
R17,131.5,-104.5,180.0,bottom
R18,108.0,-71.0,-90.0,bottom
R19,112.0,-87.0,90.0,bottom
R2,117.5,-93.5,90.0,bottom
R20,108.0,-68.0,-90.0,bottom
R21,104.5,-59.0,0.0,bottom
R22,107.0,-65.0,90.0,bottom
R23,105.0,-81.0,0.0,bottom
R24,105.0,-79.5,0.0,bottom
R25,105.0,-78.0,0.0,bottom
R26,105.0,-76.5,0.0,bottom
R27,105.0,-75.0,0.0,bottom
R3,112.5,-59.0,-90.0,bottom
R4,114.0,-59.0,-90.0,bottom
R5,107.5,-86.5,-90.0,bottom
R6,114.5,-87.0,-90.0,bottom
R7,106.0,-86.5,-90.0,bottom
R8,131.5,-102.5,180.0,bottom
R9,116.0,-95.0,90.0,bottom
SW1,119.5,-87.0,90.0,top
SW2,97.5,-84.5,0.0,top
SW3,97.5,-75.5,0.0,top
SW4,97.5,-80.0,0.0,top
U1,120.0,-78.0,90.0,bottom
U2,122.5,-93.5,180.0,bottom
U3,128.5,-101.0,-90.0,bottom
U4,118.5,-107.025,180.0,bottom
X1,120.5,-87.5,0.0,bottom
